Category,Subcategory,SKU_Count,Total_Units,Mean_Daily_Units,Std_Daily_Units,Total_Revenue,Mean_Price,Volume_Share_Pct,Revenue_Share_Pct,CV
Storage,Lamp,5,51340,14.047,10.328,469259152.3,9162.064,10.03,15.16,0.735
Home Decor,Cabinet,5,75233,20.584,7.589,467618260.35,6558.7300000000005,14.7,15.1,0.369
Home Decor,Table,5,57337,15.687,8.786,420849817.37,6398.702,11.2,13.59,0.56
Lighting,Organizer,5,51836,14.182,8.546,321766548.76,6228.302,10.13,10.39,0.603
Furniture,Shelf,5,41733,11.418,7.61,310122678.54,6814.988,8.15,10.02,0.666
Kitchen,Cushion,5,54833,15.002,7.312,298023898.36,5511.304,10.71,9.63,0.487
Furniture,Chair,5,40565,11.098,6.729,293267789.52,6374.51,7.93,9.47,0.606
Kitchen,Rug,5,46311,12.671,8.467,265510654.1,4846.157999999999,9.05,8.58,0.668
Lighting,Cookware,5,50595,13.843,7.902,136969638.39,3566.322,9.89,4.42,0.571
Storage,Sofa,5,42027,11.498,6.438,112668269.53,3465.558,8.21,3.64,0.56
