Date,SKU,Product_Name,Category,Units_Sold,Price,Revenue,Promotion,is_holiday,holiday,promotion_event,Context_Classification
2024-06-01,SKU045,Product 045,Storage,56,7676.78,429899.68,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-03-10,SKU045,Product 045,Storage,55,7676.78,422222.9,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-03-09,SKU012,Product 012,Home Decor,53,8779.37,465306.61,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-03-16,SKU018,Product 018,Kitchen,51,5575.41,284345.91,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-03-17,SKU026,Product 026,Furniture,50,10939.54,546977.0,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-04-30,SKU037,Product 037,Home Decor,50,2747.42,137371.0,0,0,,,Unexplained_Demand_Surge (Review Required)
2024-11-02,SKU012,Product 012,Home Decor,49,8779.37,430189.13,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-03-02,SKU045,Product 045,Storage,49,7676.78,376162.22,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-06-08,SKU043,Product 043,Kitchen,49,8745.77,428542.73,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-06-02,SKU007,Product 007,Home Decor,49,5114.09,250590.41,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-03-30,SKU012,Product 012,Home Decor,49,8779.37,430189.13,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-03-31,SKU012,Product 012,Home Decor,49,8779.37,430189.13,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-03-22,SKU012,Product 012,Home Decor,49,8779.37,430189.13,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-03-02,SKU045,Product 045,Storage,48,7676.78,368485.44,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-06-23,SKU007,Product 007,Home Decor,48,5114.09,245476.32,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-03-29,SKU037,Product 037,Home Decor,48,2747.42,131876.16,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-06-29,SKU037,Product 037,Home Decor,48,2747.42,131876.16,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-02-28,SKU045,Product 045,Storage,47,7676.78,360808.66,0,0,,,Unexplained_Demand_Surge (Review Required)
2024-06-15,SKU042,Product 042,Home Decor,47,9198.83,432345.01,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-03-10,SKU026,Product 026,Furniture,47,10939.54,514158.38,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-06-30,SKU012,Product 012,Home Decor,47,8779.37,412630.39,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-06-29,SKU045,Product 045,Storage,47,7676.78,360808.66,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-06-16,SKU027,Product 027,Home Decor,47,8516.6,400280.2,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-06-08,SKU026,Product 026,Furniture,47,10939.54,514158.38,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2024-03-17,SKU027,Product 027,Home Decor,47,8516.6,400280.2,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
2025-03-08,SKU007,Product 007,Home Decor,47,5114.09,240362.23,1,0,,Seasonal Promotion,Legitimate_Event (Active_Promotion; Weekend; Event_Seasonal Promotion)
