SKU,Category,Price,Mean_Daily_Units,Total_Units_Sold,Total_Revenue,Price_Tier
SKU010,Storage,663.46,17.047,12461,8267375.06,Budget
SKU050,Storage,882.72,6.207,4537,4004900.64,Budget
SKU048,Kitchen,1379.55,8.447,6175,8518721.25,Budget
SKU023,Kitchen,1416.74,14.815,10830,15343294.2,Budget
SKU011,Furniture,1444.56,2.669,1951,2818336.56,Budget
SKU034,Lighting,1518.14,20.152,14731,22363720.34,Budget
SKU024,Lighting,1768.87,13.071,9555,16901552.85,Budget
SKU016,Furniture,2166.82,13.876,10143,21978055.26,Budget
SKU014,Lighting,2270.75,21.592,15784,35841518.0,Budget
SKU009,Lighting,2336.89,10.711,7830,18297848.7,Budget
SKU040,Storage,2450.56,15.592,11398,27931482.88,Budget
SKU037,Home Decor,2747.42,24.836,18155,49879410.1,Budget
SKU028,Kitchen,3484.09,5.61,4101,14288253.09,Budget
SKU033,Kitchen,3558.0,18.09,13224,47050992.0,Budget
SKU001,Furniture,3664.05,14.367,10502,38479853.1,Budget
SKU002,Home Decor,3805.69,10.14,7412,28207774.28,Budget
SKU020,Storage,3897.54,13.869,10138,39513260.52,Budget
SKU038,Kitchen,3949.1,7.717,5641,22276873.1,Mid-Range
SKU022,Home Decor,4597.03,10.152,7421,34114559.63,Mid-Range
SKU019,Lighting,4819.85,16.146,11803,56888689.55,Mid-Range
SKU007,Home Decor,5114.09,24.8,18129,92713337.61,Mid-Range
SKU049,Lighting,5223.37,25.134,18373,95968977.01,Mid-Range
SKU044,Lighting,5412.28,9.774,7145,38670740.6,Mid-Range
SKU018,Kitchen,5575.41,25.239,18450,102866314.5,Mid-Range
SKU032,Home Decor,5612.59,9.331,6821,38283476.39,Mid-Range
SKU036,Furniture,5687.0,4.799,3508,19949996.0,Mid-Range
SKU013,Kitchen,5757.78,14.075,10289,59241798.42,Mid-Range
SKU015,Storage,6212.12,4.096,2994,18599087.28,Mid-Range
SKU004,Lighting,6861.57,4.624,3380,23192106.6,Mid-Range
SKU039,Lighting,7118.95,3.146,2300,16373585.0,Mid-Range
SKU046,Furniture,7175.54,9.249,6761,48513825.94,Mid-Range
SKU045,Storage,7676.78,25.461,18612,142880229.36,Mid-Range
SKU021,Furniture,7711.28,8.534,6238,48102964.64,Mid-Range
SKU047,Home Decor,7938.22,14.854,10858,86193192.76,Premium
SKU003,Kitchen,8078.23,5.765,4214,34041661.22,Premium
SKU006,Furniture,8106.04,6.547,4786,38795507.44,Premium
SKU017,Home Decor,8477.32,14.192,10374,87943717.68,Premium
SKU027,Home Decor,8516.6,24.237,17717,150888602.2,Premium
SKU031,Furniture,8715.93,18.77,13721,119591275.53,Premium
SKU043,Kitchen,8745.77,22.265,16276,142346152.52,Premium
SKU012,Home Decor,8779.37,26.083,19067,167396247.79,Premium
SKU042,Home Decor,9198.83,22.731,16616,152847759.28,Premium
SKU030,Storage,9433.51,4.778,3493,32951250.43,Premium
SKU005,Storage,9493.22,16.684,12196,115779311.12,Premium
SKU008,Kitchen,9842.64,16.339,11944,117560492.16,Premium
SKU041,Furniture,10336.73,11.153,8153,84275359.69,Premium
SKU035,Storage,10870.19,21.289,15562,169161896.78,Premium
SKU026,Furniture,10939.54,22.62,16535,180885293.9,Premium
SKU025,Storage,11558.01,2.703,1976,22838627.76,Premium
SKU029,Lighting,11642.45,15.773,11530,134237448.5,Premium
