SKU,Product_Name,Category,Subcategory,Price,Cost_Price,negative_margin_flag,Total_Units_Sold,Mean_Daily_Demand,Median_Daily_Demand,Std_Daily_Demand,Min_Daily_Demand,Max_Daily_Demand,Zero_Demand_Days,Zero_Demand_Pct,CV,ADI,CV2,Intermittency_Class,Total_Revenue,Volume_Rank,Revenue_Rank,Variability_Rank
SKU012,Product 012,Home Decor,Table,8779.37,1256.89,False,19067,26.083,26.0,7.0,6,53,0,0.0,0.268,1.0,0.072,Smooth,167396247.79,1,3,44
SKU045,Product 045,Storage,Lamp,7676.78,3634.56,False,18612,25.461,25.0,7.036,9,56,0,0.0,0.276,1.0,0.0764,Smooth,142880229.36,2,6,42
SKU018,Product 018,Kitchen,Rug,5575.41,5677.05,True,18450,25.239,24.0,6.532,11,51,0,0.0,0.259,1.0,0.067,Smooth,102866314.5,3,12,48
SKU049,Product 049,Lighting,Organizer,5223.37,2063.03,False,18373,25.134,25.0,6.294,9,46,0,0.0,0.25,1.0,0.0627,Smooth,95968977.01,4,13,50
SKU037,Product 037,Home Decor,Cabinet,2747.42,3901.0,True,18155,24.836,24.0,6.433,9,50,0,0.0,0.259,1.0,0.0671,Smooth,49879410.1,5,20,48
SKU007,Product 007,Home Decor,Cabinet,5114.09,7748.2,True,18129,24.8,24.0,6.53,9,49,0,0.0,0.263,1.0,0.0693,Smooth,92713337.61,6,14,46
SKU027,Product 027,Home Decor,Cabinet,8516.6,307.06,False,17717,24.237,24.0,6.322,10,47,0,0.0,0.261,1.0,0.068,Smooth,150888602.2,7,5,47
SKU042,Product 042,Home Decor,Table,9198.83,4583.86,False,16616,22.731,22.0,6.094,7,47,0,0.0,0.268,1.0,0.0719,Smooth,152847759.28,8,4,44
SKU026,Product 026,Furniture,Shelf,10939.54,1799.29,False,16535,22.62,22.0,6.433,7,50,0,0.0,0.284,1.0,0.0809,Smooth,180885293.9,9,1,38
SKU043,Product 043,Kitchen,Cushion,8745.77,2605.61,False,16276,22.265,22.0,6.172,8,49,0,0.0,0.277,1.0,0.0769,Smooth,142346152.52,10,7,41
SKU014,Product 014,Lighting,Cookware,2270.75,2008.55,False,15784,21.592,21.0,5.97,8,45,0,0.0,0.276,1.0,0.0764,Smooth,35841518.0,11,29,42
SKU035,Product 035,Storage,Lamp,10870.19,1137.61,False,15562,21.289,20.0,5.971,8,45,0,0.0,0.28,1.0,0.0787,Smooth,169161896.78,12,2,40
SKU034,Product 034,Lighting,Cookware,1518.14,1333.43,False,14731,20.152,19.0,6.004,5,43,0,0.0,0.298,1.0,0.0888,Smooth,22363720.34,13,37,35
SKU031,Product 031,Furniture,Chair,8715.93,6300.65,False,13721,18.77,18.0,5.313,5,40,0,0.0,0.283,1.0,0.0801,Smooth,119591275.53,14,9,39
SKU033,Product 033,Kitchen,Cushion,3558.0,4657.74,True,13224,18.09,18.0,5.615,5,40,0,0.0,0.31,1.0,0.0964,Smooth,47050992.0,15,23,29
SKU010,Product 010,Storage,Sofa,663.46,3889.06,True,12461,17.047,17.0,5.249,4,37,0,0.0,0.308,1.0,0.0948,Smooth,8267375.06,16,48,31
SKU005,Product 005,Storage,Lamp,9493.22,5543.63,False,12196,16.684,16.0,4.806,5,38,0,0.0,0.288,1.0,0.083,Smooth,115779311.12,17,11,37
SKU008,Product 008,Kitchen,Rug,9842.64,2775.15,False,11944,16.339,16.0,4.922,4,35,0,0.0,0.301,1.0,0.0907,Smooth,117560492.16,18,10,34
SKU019,Product 019,Lighting,Organizer,4819.85,2670.84,False,11803,16.146,16.0,5.084,3,38,0,0.0,0.315,1.0,0.0992,Smooth,56888689.55,19,19,26
SKU029,Product 029,Lighting,Organizer,11642.45,5402.59,False,11530,15.773,16.0,4.667,3,35,0,0.0,0.296,1.0,0.0876,Smooth,134237448.5,20,8,36
SKU040,Product 040,Storage,Sofa,2450.56,5169.07,True,11398,15.592,15.0,4.717,5,34,0,0.0,0.303,1.0,0.0915,Smooth,27931482.88,21,34,33
SKU047,Product 047,Home Decor,Cabinet,7938.22,3416.1,False,10858,14.854,15.0,4.603,2,34,0,0.0,0.31,1.0,0.096,Smooth,86193192.76,22,16,29
SKU023,Product 023,Kitchen,Cushion,1416.74,2484.54,True,10830,14.815,15.0,4.606,1,30,0,0.0,0.311,1.0,0.0967,Smooth,15343294.2,23,45,28
SKU001,Product 001,Furniture,Chair,3664.05,1758.45,False,10502,14.367,14.0,4.749,2,31,0,0.0,0.331,1.0,0.1093,Smooth,38479853.1,24,27,23
SKU017,Product 017,Home Decor,Cabinet,8477.32,6703.26,False,10374,14.192,14.0,4.475,4,32,0,0.0,0.315,1.0,0.0994,Smooth,87943717.68,25,15,26
SKU013,Product 013,Kitchen,Cushion,5757.78,3936.71,False,10289,14.075,14.0,4.523,4,32,0,0.0,0.321,1.0,0.1032,Smooth,59241798.42,26,18,24
SKU016,Product 016,Furniture,Shelf,2166.82,3637.93,True,10143,13.876,14.0,4.41,4,34,0,0.0,0.318,1.0,0.101,Smooth,21978055.26,27,39,25
SKU020,Product 020,Storage,Sofa,3897.54,6700.01,True,10138,13.869,14.0,4.251,3,28,0,0.0,0.307,1.0,0.094,Smooth,39513260.52,28,24,32
SKU024,Product 024,Lighting,Cookware,1768.87,5539.34,True,9555,13.071,13.0,4.536,3,34,0,0.0,0.347,1.0,0.1204,Smooth,16901552.85,29,43,22
SKU041,Product 041,Furniture,Chair,10336.73,4540.24,False,8153,11.153,11.0,3.949,1,28,0,0.0,0.354,1.0,0.1254,Smooth,84275359.69,30,17,21
