Dimension,Level,Observations,Total_Units,Mean_Units,Median_Units,Std_Units,Share_Pct
Day_of_Week,Monday,5250,68430,13.034,12.0,7.752,13.37
Day_of_Week,Tuesday,5250,68342,13.018,12.0,7.599,13.35
Day_of_Week,Wednesday,5250,68451,13.038,12.0,7.865,13.37
Day_of_Week,Thursday,5200,68193,13.114,12.0,7.659,13.32
Day_of_Week,Friday,5200,68567,13.186,12.0,7.79,13.4
Day_of_Week,Saturday,5200,84652,16.279,15.0,9.654,16.54
Day_of_Week,Sunday,5200,85175,16.38,15.0,9.741,16.64
Weekend,Weekday,26150,341983,13.078,12.0,7.733,66.82
Weekend,Weekend,10400,169827,16.33,15.0,9.697,33.18
Month,Month_01,3100,41899,13.516,13.0,7.858,8.19
Month,Month_02,2850,42277,14.834,14.0,8.441,8.26
Month,Month_03,3100,53548,17.274,16.0,10.183,10.46
Month,Month_04,3000,48136,16.045,15.0,9.15,9.41
Month,Month_05,3100,49038,15.819,15.0,8.907,9.58
Month,Month_06,3000,48616,16.205,15.0,9.771,9.5
Month,Month_07,3100,42116,13.586,13.0,7.755,8.23
Month,Month_08,3100,38754,12.501,12.0,7.243,7.57
Month,Month_09,3000,37131,12.377,11.0,7.586,7.25
Month,Month_10,3100,34390,11.094,10.0,6.509,6.72
Month,Month_11,3000,37377,12.459,11.0,7.69,7.3
Month,Month_12,3100,38528,12.428,12.0,7.219,7.53
Quarter,Q1,9050,137724,15.218,14.0,9.032,26.91
Quarter,Q2,9100,145790,16.021,15.0,9.28,28.49
Quarter,Q3,9200,118001,12.826,12.0,7.549,23.06
Quarter,Q4,9200,110295,11.989,11.0,7.177,21.55
Year,2024,18300,256585,14.021,13.0,8.483,50.13
Year,2025,18250,255225,13.985,13.0,8.452,49.87
Season,Autumn,6100,71767,11.765,11.0,7.146,14.02
Season,Monsoon,9200,118001,12.826,12.0,7.549,23.06
Season,Spring,6100,101684,16.67,16.0,9.707,19.87
Season,Summer,6100,97654,16.009,15.0,9.343,19.08
Season,Winter,9050,122704,13.558,13.0,7.898,23.97
