feature_name,dtype,missing_pct,unique_count,min,max,mean,std
Category,object,0.0,5,,,,
Cost_Price,float64,0.0,50,307.06,7748.2,3770.7294,2005.8531
Gross_Margin_Per_Unit,float64,0.0,50,-5484.32,10224.93,2121.9344,3747.6423
Lead_Time_Days,float64,0.0,12,3.0,14.0,7.74,3.5774
Price_Tier,object,0.0,3,,,,
Reorder_Point,float64,0.0,11,10.0,20.0,13.6,3.4591
Safety_Stock,float64,0.0,3,5.0,7.0,5.62,0.8221
Selling_Price,float64,0.0,50,663.46,11642.45,5892.6638,3139.4007
Subcategory,object,0.0,10,,,,
cos_week_annual,float64,0.0,47,-0.9999,0.9998,-0.0956,0.6799
days_since_inventory_snapshot,float64,0.0,31,0.0,30.0,14.8298,8.8633
days_since_launch,int64,0.0,988,8.0,1333.0,647.1,319.5278
demand_acceleration,float64,0.0,107,-22.0,24.3333,-0.0691,5.3425
ewma_decay_01,float64,0.0,2350,17.1742,203.078,99.0642,50.9052
ewma_decay_03,float64,0.0,2350,15.1376,227.8396,99.3611,52.072
has_inventory_snapshot_at_origin,int64,0.0,2,0.0,1.0,0.0426,0.2019
is_inventory_stale,int64,0.0,1,0.0,0.0,0.0,0.0
lag_1,int64,0.0,223,8.0,257.0,99.1979,53.125
lag_12,float64,0.0,224,6.0,257.0,99.2264,53.117
lag_13,float64,0.0,224,6.0,257.0,99.2174,53.1427
lag_2,float64,0.0,223,8.0,257.0,99.2319,53.1204
lag_26,float64,0.0,221,6.0,257.0,96.6226,51.8456
lag_3,float64,0.0,223,8.0,257.0,99.2991,53.1979
lag_4,float64,0.0,224,6.0,257.0,99.4051,53.1908
lag_52,float64,0.0,228,1.0,241.0,97.8762,54.1949
lag_8,float64,0.0,224,6.0,257.0,99.9468,53.2559
latest_known_on_order,float64,0.0,349,0.0,1706.0,222.8864,213.0852
latest_known_stock,float64,0.0,400,27.0,1244.0,322.6677,233.4916
log_price,float64,0.0,50,6.4975,9.3624,8.4788,0.7135
margin_rate,float64,0.0,50,-4.8618,0.9639,-0.0032,1.0882
negative_margin_flag,bool,0.0,2,0.0,1.0,0.32,0.4666
origin_month,int64,0.0,12,1.0,12.0,6.1064,3.2179
origin_quarter,int64,0.0,4,1.0,4.0,2.383,1.043
origin_week_of_year,int64,0.0,47,1.0,52.0,24.2128,13.9526
price_vs_category_median_ratio,float64,0.0,50,0.0955,2.3185,0.9628,0.5152
promo_active_last_week,int64,0.0,2,0.0,1.0,0.3404,0.474
promo_days_last_4w,int64,0.0,9,0.0,8.0,2.4468,2.7667
promo_days_last_8w,int64,0.0,11,0.0,10.0,5.2128,3.4521
promo_intensity_last_13w,float64,0.0,12,0.011,0.1319,0.0919,0.0236
rolling_max_4,float64,0.0,212,16.0,257.0,109.9319,55.9096
rolling_mean_13,float64,0.0,1500,16.4615,212.8462,99.5177,51.7822
rolling_mean_4,float64,0.0,736,14.0,232.0,99.2835,52.346
rolling_mean_8,float64,0.0,1165,15.25,220.75,99.5568,52.0972
rolling_min_4,float64,0.0,195,6.0,215.0,88.9336,49.3774
rolling_std_4,float64,0.0,2138,0.5774,35.4119,9.4235,5.0472
rolling_std_8,float64,0.0,2242,1.7728,28.5995,10.5176,4.6458
sin_week_annual,float64,0.0,47,-0.9999,1.0,0.0504,0.7255
stock_to_trailing_demand_ratio,float64,0.0,2277,0.1716,62.4516,4.9828,6.5531
trend_ratio_4_13,float64,0.0,2328,0.7065,1.333,0.9978,0.0877
trend_ratio_4_8,float64,0.0,2311,0.7862,1.3043,0.9966,0.0564
