SKU,unit_iv,own_Cost_Price,own_Sell_Price,diff_own_cost,diff_own_sell,best_cost_match_SKU,best_cost_val,cost_match_diff,exact_cost_match,best_sell_match_SKU,best_sell_val,sell_match_diff,exact_sell_match
SKU001,3651.31,1758.45,3664.05,1892.86,12.74,SKU016,3637.93,13.38,False,SKU001,3664.05,12.74,False
SKU002,5654.6,3867.09,3805.69,1787.51,1848.91,SKU018,5677.05,22.45,False,SKU036,5687.0,32.4,False
SKU003,6148.83,589.48,8078.23,5559.35,1929.4,SKU039,6178.74,29.91,False,SKU015,6212.12,63.29,False
SKU004,1242.88,1445.74,6861.57,202.86,5618.69,SKU012,1256.89,14.01,False,SKU048,1379.55,136.67,False
SKU005,7432.43,5543.63,9493.22,1888.8,2060.79,SKU007,7748.2,315.77,False,SKU045,7676.78,244.35,False
SKU006,6626.4,6021.91,8106.04,604.49,1479.64,SKU020,6700.01,73.61,False,SKU004,6861.57,235.17,False
SKU007,4548.03,7748.2,5114.09,3200.17,566.06,SKU041,4540.24,7.79,False,SKU022,4597.03,49.0,False
SKU008,6664.14,2775.15,9842.64,3888.99,3178.5,SKU020,6700.01,35.87,False,SKU004,6861.57,197.43,False
SKU009,2997.58,3121.06,2336.89,123.48,660.69,SKU009,3121.06,123.48,False,SKU037,2747.42,250.16,False
SKU010,7171.69,3889.06,663.46,3282.63,6508.23,SKU048,6863.87,307.82,False,SKU046,7175.54,3.85,False
SKU011,3867.09,1718.4,1444.56,2148.69,2422.53,SKU002,3867.09,0.0,True,SKU020,3897.54,30.45,False
SKU012,1445.74,1256.89,8779.37,188.85,7333.63,SKU004,1445.74,0.0,True,SKU011,1444.56,1.18,False
SKU013,7748.2,3936.71,5757.78,3811.49,1990.42,SKU007,7748.2,0.0,True,SKU021,7711.28,36.92,False
SKU014,3121.06,2008.55,2270.75,1112.51,850.31,SKU009,3121.06,0.0,True,SKU028,3484.09,363.03,False
SKU015,1256.89,5441.06,6212.12,4184.17,4955.23,SKU012,1256.89,0.0,True,SKU048,1379.55,122.66,False
SKU016,2008.55,3637.93,2166.82,1629.38,158.27,SKU014,2008.55,0.0,True,SKU016,2166.82,158.27,False
SKU017,6703.26,6703.26,8477.32,0.0,1774.06,SKU017,6703.26,0.0,False,SKU004,6861.57,158.31,False
SKU018,2670.84,5677.05,5575.41,3006.21,2904.57,SKU019,2670.84,0.0,True,SKU037,2747.42,76.58,False
SKU019,3252.96,2670.84,4819.85,582.12,1566.89,SKU022,3252.96,0.0,True,SKU028,3484.09,231.13,False
SKU020,5539.34,6700.01,3897.54,1160.67,1641.8,SKU024,5539.34,0.0,True,SKU018,5575.41,36.07,False
SKU021,307.06,6486.92,7711.28,6179.86,7404.22,SKU027,307.06,0.0,True,SKU010,663.46,356.4,False
SKU022,5402.59,3252.96,4597.03,2149.63,805.56,SKU029,5402.59,0.0,True,SKU044,5412.28,9.69,False
SKU023,3806.6,2484.54,1416.74,1322.06,2389.86,SKU032,3806.6,0.0,True,SKU002,3805.69,0.91,False
SKU024,1333.43,5539.34,1768.87,4205.91,435.44,SKU034,1333.43,0.0,True,SKU048,1379.55,46.12,False
SKU025,3901.0,1333.08,11558.01,2567.92,7657.01,SKU037,3901.0,0.0,True,SKU020,3897.54,3.46,False
SKU026,6178.74,1799.29,10939.54,4379.45,4760.8,SKU039,6178.74,0.0,True,SKU015,6212.12,33.38,False
SKU027,4583.86,307.06,8516.6,4276.8,3932.74,SKU042,4583.86,0.0,True,SKU022,4597.03,13.17,False
SKU028,488.84,6348.66,3484.09,5859.82,2995.25,SKU044,488.84,0.0,True,SKU010,663.46,174.62,False
SKU029,3416.1,5402.59,11642.45,1986.49,8226.35,SKU047,3416.1,0.0,True,SKU028,3484.09,67.99,False
SKU030,2063.03,5715.03,9433.51,3652.0,7370.48,SKU049,2063.03,0.0,True,SKU016,2166.82,103.79,False
SKU031,2525.35,6300.65,8715.93,3775.3,6190.58,SKU023,2484.54,40.81,False,SKU040,2450.56,74.79,False
SKU032,4567.0,3806.6,5612.59,760.4,1045.59,SKU042,4583.86,16.86,False,SKU022,4597.03,30.03,False
SKU033,3399.5,4657.74,3558.0,1258.24,158.5,SKU047,3416.1,16.6,False,SKU028,3484.09,84.59,False
SKU034,1544.04,1333.43,1518.14,210.61,25.9,SKU004,1445.74,98.3,False,SKU034,1518.14,25.9,False
SKU035,5848.28,1137.61,10870.19,4710.67,5021.91,SKU030,5715.03,133.25,False,SKU013,5757.78,90.5,False
SKU036,1499.86,5430.12,5687.0,3930.26,4187.14,SKU004,1445.74,54.12,False,SKU034,1518.14,18.28,False
SKU037,5646.48,3901.0,2747.42,1745.48,2899.06,SKU018,5677.05,30.57,False,SKU032,5612.59,33.89,False
SKU038,3202.91,4630.58,3949.1,1427.67,746.19,SKU022,3252.96,50.05,False,SKU028,3484.09,281.18,False
SKU039,3054.05,6178.74,7118.95,3124.69,4064.9,SKU009,3121.06,67.01,False,SKU037,2747.42,306.63,False
