SKU,Product_Name,Category,Subcategory,Launch_Date,Cost_Price,Selling_Price,Gross_Margin_Per_Unit,abs_diff,pct_diff,gross_margin,total_units,total_revenue,sales_price_avg,sales_price_min,sales_price_max,n_transactions,price_agrees
SKU002,Product 002,Home Decor,Table,2024-05-01,3867.09,3805.69,-61.4,61.4,1.59,-61.4,7412,28207774.28,3805.69,3805.69,3805.69,731,True
SKU007,Product 007,Home Decor,Cabinet,2022-04-05,7748.2,5114.09,-2634.11,2634.11,34.0,-2634.11,18129,92713337.61,5114.09,5114.09,5114.09,731,True
SKU009,Product 009,Lighting,Organizer,2022-08-10,3121.06,2336.89,-784.17,784.17,25.13,-784.17,7830,18297848.7,2336.89,2336.89,2336.89,731,True
SKU010,Product 010,Storage,Sofa,2022-04-14,3889.06,663.46,-3225.6,3225.6,82.94,-3225.6,12461,8267375.06,663.46,663.46,663.46,731,True
SKU011,Product 011,Furniture,Chair,2023-08-03,1718.4,1444.56,-273.84,273.84,15.94,-273.84,1951,2818336.56,1444.56,1444.56,1444.56,731,True
SKU016,Product 016,Furniture,Shelf,2024-05-14,3637.93,2166.82,-1471.11,1471.11,40.44,-1471.11,10143,21978055.26,2166.82,2166.82,2166.82,731,True
SKU018,Product 018,Kitchen,Rug,2022-05-21,5677.05,5575.41,-101.64,101.64,1.79,-101.64,18450,102866314.5,5575.41,5575.41,5575.41,731,True
SKU020,Product 020,Storage,Sofa,2023-05-11,6700.01,3897.54,-2802.47,2802.47,41.83,-2802.47,10138,39513260.52,3897.54,3897.54,3897.54,731,True
SKU023,Product 023,Kitchen,Cushion,2022-07-20,2484.54,1416.74,-1067.8,1067.8,42.98,-1067.8,10830,15343294.2,1416.74,1416.74,1416.74,731,True
SKU024,Product 024,Lighting,Cookware,2024-10-16,5539.34,1768.87,-3770.47,3770.47,68.07,-3770.47,9555,16901552.85,1768.87,1768.87,1768.87,731,True
SKU028,Product 028,Kitchen,Rug,2024-06-24,6348.66,3484.09,-2864.57,2864.57,45.12,-2864.57,4101,14288253.09,3484.09,3484.09,3484.09,731,True
SKU033,Product 033,Kitchen,Cushion,2022-04-12,4657.74,3558.0,-1099.74,1099.74,23.61,-1099.74,13224,47050992.0,3558.0,3558.0,3558.0,731,True
SKU037,Product 037,Home Decor,Cabinet,2024-08-02,3901.0,2747.42,-1153.58,1153.58,29.57,-1153.58,18155,49879410.1,2747.42,2747.42,2747.42,731,True
SKU038,Product 038,Kitchen,Rug,2024-06-29,4630.58,3949.1,-681.48,681.48,14.72,-681.48,5641,22276873.1,3949.1,3949.1,3949.1,731,True
SKU040,Product 040,Storage,Sofa,2023-11-26,5169.07,2450.56,-2718.51,2718.51,52.59,-2718.51,11398,27931482.88,2450.56,2450.56,2450.56,731,True
SKU048,Product 048,Kitchen,Rug,2024-09-09,6863.87,1379.55,-5484.32,5484.32,79.9,-5484.32,6175,8518721.25,1379.55,1379.55,1379.55,731,True
