SKU,nunique,mean,std,min,max,is_constant
SKU051,2,2806.42,0.0,2806.42,2806.42,True
SKU052,2,1051.37,0.0,1051.37,1051.37,True
SKU053,2,7419.68,0.0,7419.68,7419.68,True
SKU054,2,2938.24,0.0,2938.24,2938.24,True
SKU055,3,7678.83,0.0,7678.83,7678.83,True
SKU056,2,6316.2,0.0,6316.2,6316.2,True
SKU057,3,4052.98,0.0,4052.98,4052.98,True
SKU058,2,4680.89,0.0,4680.89,4680.89,True
SKU059,2,2819.66,0.0,2819.66,2819.66,True
SKU060,2,3651.56,0.0,3651.56,3651.56,True
SKU061,1,7195.25,0.0,7195.25,7195.25,True
SKU062,2,4543.78,0.0,4543.78,4543.78,True
SKU063,2,2429.56,0.0,2429.56,2429.56,True
SKU064,2,5884.21,0.0,5884.21,5884.21,True
SKU065,2,7349.09,0.0,7349.09,7349.09,True
SKU066,2,539.95,0.0,539.95,539.95,True
SKU067,3,6680.87,0.0,6680.87,6680.87,True
SKU068,2,2707.83,0.0,2707.83,2707.83,True
SKU069,2,4241.69,0.0,4241.69,4241.69,True
SKU070,2,7504.34,0.0,7504.34,7504.34,True
SKU071,1,3622.0,0.0,3622.0,3622.0,True
SKU072,1,7160.5,0.0,7160.5,7160.5,True
SKU073,3,7174.21,0.0,7174.21,7174.21,True
SKU074,2,2698.45,0.0,2698.45,2698.45,True
SKU075,2,3145.85,0.0,3145.85,3145.85,True
SKU076,3,6037.62,0.0,6037.62,6037.62,True
SKU077,1,2117.52,0.0,2117.52,2117.52,True
SKU078,2,6691.12,0.0,6691.12,6691.12,True
SKU079,2,4895.22,0.0,4895.22,4895.22,True
SKU080,2,1772.37,0.0,1772.37,1772.37,True
SKU081,2,7781.65,0.0,7781.65,7781.65,True
SKU082,2,1365.21,0.0,1365.21,1365.21,True
SKU083,2,1271.62,0.0,1271.62,1271.62,True
SKU084,2,1194.2,0.0,1194.2,1194.2,True
SKU085,2,4753.65,0.0,4753.65,4753.65,True
SKU086,2,6481.97,0.0,6481.97,6481.97,True
SKU087,2,1265.7,0.0,1265.7,1265.7,True
SKU088,2,7438.61,0.0,7438.61,7438.61,True
SKU089,2,4036.53,0.0,4036.53,4036.53,True
SKU090,3,7656.08,0.0,7656.08,7656.08,True
