SKU,n_records,first_snapshot,last_snapshot,stock_avg,stock_min,stock_max,stock_total,on_order_avg,on_order_total,lead_time_avg,lead_time_min,lead_time_max,safety_stock_avg,safety_stock_min,safety_stock_max,reorder_point_avg,reorder_point_min,reorder_point_max,inv_value_avg,inv_value_min,inv_value_max,inv_value_total,in_sales
SKU051,24,2024-01-01,2025-12-01,100.75,11,196,2418,59.75,1434,7.92,3,14,27.08,5,50,67.46,10,120,282746.82,30870.62,550058.32,6785923.56,False
SKU052,24,2024-01-01,2025-12-01,109.83,15,244,2636,74.79,1795,7.21,3,14,32.62,5,56,71.42,10,119,115475.47,15770.55,256534.28,2771411.32,False
SKU053,24,2024-01-01,2025-12-01,1006.58,12,1876,24158,715.17,17164,9.42,3,14,234.21,5,403,649.46,16,1096,7468526.23,89036.16,13919319.68,179244629.44,False
SKU054,24,2024-01-01,2025-12-01,144.96,32,312,3479,90.71,2177,8.67,3,14,34.08,5,62,93.75,12,156,425922.37,94023.68,916730.88,10222136.96,False
SKU055,24,2024-01-01,2025-12-01,316.33,30,643,7592,293.83,7052,8.33,3,12,97.79,6,156,231.67,10,373,2429069.89,230364.9,4937487.69,58297677.36,False
SKU056,24,2024-01-01,2025-12-01,55.38,13,123,1329,44.58,1070,9.25,3,14,13.92,5,26,39.12,13,61,349759.58,82110.6,776892.6,8394229.8,False
SKU057,24,2024-01-01,2025-12-01,169.21,21,362,4061,115.46,2771,8.67,3,14,52.46,7,90,136.17,18,256,685797.99,85112.58,1467178.76,16459151.78,False
SKU058,24,2024-01-01,2025-12-01,390.92,34,863,9382,352.67,8464,8.5,3,13,124.58,6,233,317.08,19,503,1829837.92,159150.26,4039608.07,43916109.98,False
SKU059,24,2024-01-01,2025-12-01,50.04,11,114,1201,37.79,907,8.71,3,14,13.25,6,24,35.38,13,62,141100.49,31016.26,321441.24,3386411.66,False
SKU060,24,2024-01-01,2025-12-01,207.21,14,380,4973,169.33,4064,9.04,3,14,48.75,7,76,127.92,13,230,756633.66,51121.84,1387592.8,18159207.88,False
SKU061,24,2024-01-01,2025-12-01,200.21,27,358,4805,116.67,2800,9.0,3,14,44.38,7,83,117.29,19,220,1440549.01,194271.75,2575899.5,34573176.25,False
SKU062,24,2024-01-01,2025-12-01,388.54,25,738,9325,313.29,7519,9.92,3,14,114.5,5,185,303.33,19,424,1765447.85,113594.5,3353309.64,42370748.5,False
SKU063,24,2024-01-01,2025-12-01,306.42,6,733,7354,242.88,5829,8.46,3,14,101.58,6,165,261.88,10,411,744457.68,14577.36,1780867.48,17866984.24,False
SKU064,24,2024-01-01,2025-12-01,375.42,30,818,9010,292.0,7008,9.58,3,14,110.33,7,182,300.46,15,511,2209030.5,176526.3,4813283.78,53016732.1,False
SKU065,24,2024-01-01,2025-12-01,323.75,6,712,7770,199.58,4790,7.67,3,13,92.38,6,153,215.5,15,422,2379267.89,44094.54,5232552.08,57102429.3,False
SKU066,24,2024-01-01,2025-12-01,380.42,6,774,9130,254.96,6119,9.29,3,14,104.17,5,159,270.54,19,426,205405.98,3239.7,417921.3,4929743.5,False
SKU067,24,2024-01-01,2025-12-01,82.08,23,184,1970,53.42,1282,8.17,3,14,22.17,5,42,56.54,18,93,548388.08,153660.01,1229280.08,13161313.9,False
SKU068,24,2024-01-01,2025-12-01,320.17,28,567,7684,186.92,4486,8.12,3,12,89.08,5,148,218.54,15,371,866956.9,75819.24,1535339.61,20806965.72,False
SKU069,24,2024-01-01,2025-12-01,641.79,31,1267,15403,336.67,8080,6.92,3,14,191.71,7,304,417.46,15,696,2722281.29,131492.39,5374221.23,65334751.07,False
SKU070,24,2024-01-01,2025-12-01,278.0,6,635,6672,166.38,3993,8.33,4,14,74.46,6,131,188.54,16,385,2086206.52,45026.04,4765255.9,50068956.48,False
SKU071,24,2024-01-01,2025-12-01,180.5,28,286,4332,133.88,3213,7.25,3,14,50.38,5,87,106.12,18,190,653771.0,101416.0,1035892.0,15690504.0,False
