model,horizon,Micro_WAPE,Macro_WAPE,MAE,RMSE
Selected Hybrid,1,9.504622718548054,11.203400443830125,9.709922569268691,12.739803809931194
Seasonal Naive 52w,1,10.38023144522753,12.683376881669444,10.604444444444445,13.793235056843384
Tuned XGBoost,1,9.51691282891858,11.411828556320405,9.72247814602322,12.731033750584226
Selected Hybrid,2,9.873743013899315,12.005379062870787,10.08811294555664,13.06209430315769
Seasonal Naive 52w,2,10.531352632838157,12.929555207403471,10.76,13.8953229541454
Tuned XGBoost,2,9.873743013899315,12.005379062870787,10.08811294555664,13.06209430315769
Selected Hybrid,3,10.663813472426554,13.23388283262231,10.63111111111111,13.937957765277762
Seasonal Naive 52w,3,10.663813472426554,13.23388283262231,10.63111111111111,13.937957765277762
Tuned XGBoost,3,12.626169526217204,14.669395240067606,12.587449273003472,16.238967197675294
Selected Hybrid,4,10.677042097405389,13.022496426682626,10.488888888888889,13.633455582173989
Seasonal Naive 52w,4,10.677042097405389,13.022496426682626,10.488888888888889,13.633455582173989
Tuned XGBoost,4,12.659099255349831,15.626579990371717,12.43601779513889,15.71948946757764
Selected Hybrid,5,10.59333575449428,12.562562540259336,10.37111111111111,13.811026190853612
Seasonal Naive 52w,5,10.59333575449428,12.562562540259336,10.37111111111111,13.811026190853612
Tuned XGBoost,5,13.946721232130066,16.490786170567066,13.654150013393826,17.151092479372085
Selected Hybrid,6,10.989210675752412,13.508099152520025,10.751111111111111,13.927909630187392
Seasonal Naive 52w,6,10.989210675752412,13.508099152520025,10.751111111111111,13.927909630187392
Tuned XGBoost,6,16.062075704285395,19.509991150365295,15.714064064025878,19.262888742205387
Selected Hybrid,7,10.922075194286915,13.440290725146664,10.4,13.540884592801001
Seasonal Naive 52w,7,10.922075194286915,13.440290725146664,10.4,13.540884592801001
Tuned XGBoost,7,19.522008726946204,23.353876160854064,18.588856709798176,22.957099702662173
Selected Hybrid,8,10.664007508212107,12.63036843965343,10.1,13.283322877453015
Seasonal Naive 52w,8,10.664007508212107,12.63036843965343,10.1,13.283322877453015
Tuned XGBoost,8,19.332737383401657,25.170276737063503,18.310250384012857,22.4125094660031
