model,Category,Micro_WAPE,Macro_WAPE,MAE,RMSE
LightGBM,Furniture,16.609794633720334,18.280035305410927,13.207093649729016,17.550069520366012
LightGBM,Home Decor,12.561359807940903,13.949506615307623,16.067549364332407,20.00414039603275
LightGBM,Kitchen,14.2210916890614,15.231036358292679,13.911585429661965,18.29016693835104
LightGBM,Lighting,15.028440711012792,16.953016334597088,14.744778892592423,19.43913579117862
LightGBM,Storage,15.504054847023403,18.0324418310745,13.813036198222363,18.632837906785284
XGBoost,Furniture,16.48010304879934,18.633550963696116,13.103970826996697,17.141810695965564
XGBoost,Home Decor,12.307295425487773,13.842675678510279,15.742569261127048,19.568097782233423
XGBoost,Kitchen,13.790987328441929,15.071644248292376,13.490841812557644,17.557680215210496
XGBoost,Lighting,14.597660377958102,16.803242921440763,14.322129538324145,18.41349121811857
XGBoost,Storage,15.032540495784769,17.671811314321335,13.392949655320908,17.74793486520814
Random Forest,Furniture,17.733462050237485,19.176591311143188,14.10056531077911,18.62702451960388
Random Forest,Home Decor,13.964456039939444,15.262192275389651,17.86228483208754,22.101464269092432
Random Forest,Kitchen,15.484713363185257,16.269547248423926,15.1477057820726,19.86468380161203
Random Forest,Lighting,16.424544458375312,18.084200179462705,16.11453118172348,21.13392901880196
Random Forest,Storage,16.48941956909566,18.256672749612136,14.690927737483046,19.90885531182166
Seasonal Naive 52w,Furniture,11.673362445414847,14.758531007535797,9.281944444444445,12.4625550260682
Seasonal Naive 52w,Home Decor,9.582288239573494,10.58287632005909,12.256944444444445,15.723522718101902
Seasonal Naive 52w,Kitchen,10.253716297758153,12.048911231444247,10.030555555555555,12.906178537601456
Seasonal Naive 52w,Lighting,10.948316133690067,13.36258293640642,10.741666666666667,13.935665674009899
Seasonal Naive 52w,Storage,11.511060532838636,14.247421136416225,10.255555555555556,13.386041652075908
