model,horizon,Micro_WAPE,Macro_WAPE,MAE,RMSE
LightGBM,1,9.640609839466993,11.411717971055243,9.84884701199948,12.958445576634777
LightGBM,2,9.846587309678798,11.636054414642304,10.06036766082449,13.125482185232109
LightGBM,3,12.49579950556165,14.420391135128547,12.457479053744594,16.077237519763806
LightGBM,4,13.136080607136044,15.164250696891072,12.904593675548067,16.73757028492659
LightGBM,5,14.588036782401614,16.428370544348297,14.282012188566346,18.202243263231512
LightGBM,6,16.672188715756096,18.541516049781734,16.310957960248047,21.07495795015737
LightGBM,7,19.541850100906828,22.304361357898166,18.607749666083482,23.18151675820049
LightGBM,8,21.453092672949218,23.42369731846889,20.31846243824657,25.23370433359633
XGBoost,1,9.51691282891858,11.411828556320405,9.72247814602322,12.731033750584226
XGBoost,2,10.129839632918053,11.997215638387006,10.349769706726073,13.427970712223399
XGBoost,3,12.808108026847108,14.872892303624397,12.768829828898111,16.247665956011037
XGBoost,4,12.972942123363037,15.267361026905462,12.744330054389106,16.210276501974192
XGBoost,5,13.967972665900694,16.09121714149955,13.674955639309353,17.35106021280126
XGBoost,6,15.984749225917557,18.35064465167579,15.638412992689345,19.619231430035363
XGBoost,7,19.319030246967422,22.282818088878184,18.39558060116238,22.70526755533492
XGBoost,8,19.838834706185178,22.308573712341218,18.78958078172472,23.491703597403752
Random Forest,1,9.55621119973588,11.311754186997947,9.762625361650176,12.864700970042906
Random Forest,2,10.430807654561459,12.179575178449673,10.657272078528273,13.730868757126585
Random Forest,3,13.218783078163776,14.957106792434926,13.178245476724074,16.97521918707138
Random Forest,4,13.973186710372628,15.681295894289958,13.726948109009841,17.527962909326835
Random Forest,5,15.664751235449776,17.207585784940154,15.33613956508834,19.19881918259853
Random Forest,6,17.71260240952673,19.221587870015856,17.32882935732032,22.291731128678776
Random Forest,7,22.714896899858672,24.579893154026173,21.629124828045427,26.73408500260251
Random Forest,8,24.333405768231007,25.742350142026822,23.04643897426679,28.057636603360958
Seasonal Naive 52w,1,10.38023144522753,12.683376881669442,10.604444444444445,13.793235056843384
Seasonal Naive 52w,2,10.531352632838157,12.929555207403466,10.76,13.8953229541454
Seasonal Naive 52w,3,10.663813472426554,13.23388283262231,10.63111111111111,13.937957765277762
Seasonal Naive 52w,4,10.677042097405389,13.022496426682626,10.488888888888889,13.633455582173989
Seasonal Naive 52w,5,10.59333575449428,12.562562540259337,10.37111111111111,13.811026190853612
Seasonal Naive 52w,6,10.989210675752412,13.508099152520026,10.751111111111111,13.927909630187392
Seasonal Naive 52w,7,10.922075194286915,13.440290725146662,10.4,13.540884592801001
Seasonal Naive 52w,8,10.664007508212107,12.630368439653433,10.1,13.283322877453015
