model,Category,Micro_WAPE,Macro_WAPE,MAE,RMSE
Tuned LightGBM,Furniture,17.05726304537012,20.285036744441648,13.562893185381103,17.424789702665727
Tuned LightGBM,Home Decor,12.041627882556693,13.686696673435602,15.40274726527533,19.296032485449608
Tuned LightGBM,Kitchen,14.175432511973968,15.722856311601694,13.866919973831424,17.943553341115454
Tuned LightGBM,Lighting,14.981801333970527,17.664227344337533,14.699019833791832,18.93624558329123
Tuned LightGBM,Storage,15.461820361307035,19.68778935519358,13.77540820439948,18.10953969695945
Tuned XGBoost,Furniture,16.73563851102471,19.976064267384665,13.307157010502285,17.087646462826843
Tuned XGBoost,Home Decor,11.722416250589509,13.52547331059335,14.994435686535306,18.666543946828337
Tuned XGBoost,Kitchen,13.733392938893877,15.397282454238413,13.434500900904338,17.369630926975468
Tuned XGBoost,Lighting,14.605257436583537,17.420771852403373,14.329583202468024,18.24014196434614
Tuned XGBoost,Storage,15.009795317994087,19.118295679033473,13.372685281435649,17.648243269546033
Tuned Random Forest,Furniture,17.67784417486452,19.202132581279464,14.056341375152693,18.586335864333204
Tuned Random Forest,Home Decor,13.171525666214215,14.590826974345712,16.848027767796257,20.913486233605052
Tuned Random Forest,Kitchen,15.634584421680408,16.668781269982865,15.294315063503003,19.953450153880986
Tuned Random Forest,Lighting,16.389024899727712,18.19573266090946,16.07968205474535,21.075380326656614
Tuned Random Forest,Storage,16.516656415381664,18.38433343980838,14.715193876076217,19.892952931728004
Seasonal Naive 52w,Furniture,11.673362445414847,14.758531007535797,9.281944444444445,12.4625550260682
Seasonal Naive 52w,Home Decor,9.582288239573494,10.58287632005909,12.256944444444445,15.723522718101902
Seasonal Naive 52w,Kitchen,10.253716297758153,12.048911231444247,10.030555555555555,12.906178537601456
Seasonal Naive 52w,Lighting,10.948316133690067,13.36258293640642,10.741666666666667,13.935665674009899
Seasonal Naive 52w,Storage,11.511060532838636,14.247421136416225,10.255555555555556,13.386041652075908
