model,horizon,Micro_WAPE,Macro_WAPE,MAE,RMSE
Tuned LightGBM,1,9.599043685846299,11.652680956498063,9.80638302946058,12.758250886070094
Tuned LightGBM,2,9.991622786566069,11.972637423745553,10.208552019065513,13.089604296359871
Tuned LightGBM,3,12.579341093343924,14.960657462995083,12.540764447324335,16.23773198560156
Tuned LightGBM,4,12.632465395066383,14.838535119028618,12.409853282659991,16.101462976028337
Tuned LightGBM,5,14.332167998362234,16.517829224391555,14.031510963018812,17.662490702452768
Tuned LightGBM,6,16.476116194465394,21.414112689735042,16.119133676918647,19.578337088241287
Tuned LightGBM,7,19.171300775412607,22.282706384718022,18.254912598347886,22.70637597201048
Tuned LightGBM,8,21.87712854427711,27.24913326650036,20.720071523490898,25.045215680056717
Tuned XGBoost,1,9.51691282891858,11.411828556320405,9.72247814602322,12.731033750584226
Tuned XGBoost,2,9.873743013899315,12.005379062870785,10.08811294555664,13.06209430315769
Tuned XGBoost,3,12.626169526217204,14.669395240067606,12.587449273003472,16.238967197675294
Tuned XGBoost,4,12.659099255349831,15.626579990371715,12.43601779513889,15.71948946757764
Tuned XGBoost,5,13.946721232130066,16.49078617056707,13.654150013393826,17.151092479372085
Tuned XGBoost,6,16.062075704285395,19.50999115036529,15.714064064025878,19.262888742205387
Tuned XGBoost,7,19.522008726946204,23.35387616085407,18.588856709798176,22.957099702662173
Tuned XGBoost,8,19.332737383401657,25.1702767370635,18.310250384012857,22.4125094660031
Tuned Random Forest,1,9.504622718548054,11.203400443830127,9.709922569268691,12.739803809931194
Tuned Random Forest,2,10.193632644581262,11.994332292606854,10.414947735553614,13.466692804529538
Tuned Random Forest,3,13.017423079543338,14.986122714195233,12.977502982099407,16.671010277300958
Tuned Random Forest,4,13.4916703622091,15.318070614529818,13.253917148937282,17.0432420406872
Tuned Random Forest,5,15.591712025588883,17.25133510377896,15.264632555540972,19.094676898857138
Tuned Random Forest,6,17.753043233376705,19.56485190199952,17.368393963320212,22.02188384216991
Tuned Random Forest,7,22.19859566576248,24.39268661921445,21.13750279293903,26.23156153339153
Tuned Random Forest,8,24.35076117407388,26.163517766456422,23.06287647197842,27.994169655994565
Seasonal Naive 52w,1,10.38023144522753,12.683376881669442,10.604444444444445,13.793235056843384
Seasonal Naive 52w,2,10.531352632838157,12.929555207403466,10.76,13.8953229541454
Seasonal Naive 52w,3,10.663813472426554,13.23388283262231,10.63111111111111,13.937957765277762
Seasonal Naive 52w,4,10.677042097405389,13.022496426682626,10.488888888888889,13.633455582173989
Seasonal Naive 52w,5,10.59333575449428,12.562562540259337,10.37111111111111,13.811026190853612
Seasonal Naive 52w,6,10.989210675752412,13.508099152520026,10.751111111111111,13.927909630187392
Seasonal Naive 52w,7,10.922075194286915,13.440290725146662,10.4,13.540884592801001
Seasonal Naive 52w,8,10.664007508212107,12.630368439653433,10.1,13.283322877453015
