model,horizon,trial_id,parameters,validation_micro_wape,validation_macro_wape,validation_mae,validation_rmse,training_duration_sec,seed
LightGBM,1,1,"{""objective"": ""regression"", ""learning_rate"": 0.05, ""num_leaves"": 31, ""min_child_samples"": 20, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",9.075022480969716,11.115287685401618,10.282000470938687,13.129269696772,0.3319750999980897,42
LightGBM,1,2,"{""objective"": ""regression_l1"", ""learning_rate"": 0.05, ""num_leaves"": 31, ""min_child_samples"": 20, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",9.260040701775369,11.407229886687787,10.491626115111492,13.347098443009562,0.3263342999998713,42
LightGBM,1,3,"{""objective"": ""regression_l1"", ""learning_rate"": 0.03, ""num_leaves"": 31, ""min_child_samples"": 25, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5}",9.883598306350528,13.92778242491216,11.198116881095148,14.203753486248647,0.2600775999999314,42
LightGBM,1,4,"{""objective"": ""regression_l1"", ""learning_rate"": 0.04, ""num_leaves"": 20, ""min_child_samples"": 25, ""subsample"": 0.75, ""colsample_bytree"": 0.75, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}",9.348210410443606,12.153094411166299,10.591522395032607,13.378281634905578,0.23600699999951757,42
LightGBM,1,5,"{""objective"": ""regression"", ""learning_rate"": 0.04, ""num_leaves"": 20, ""min_child_samples"": 25, ""subsample"": 0.75, ""colsample_bytree"": 0.75, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}",9.0139977055365,11.472068204298132,10.212859400372855,12.914422063204942,0.2902042000023357,42
LightGBM,1,6,"{""objective"": ""regression_l1"", ""learning_rate"": 0.03, ""num_leaves"": 15, ""min_child_samples"": 30, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",9.943380441064479,14.09198547588002,11.265850039726054,14.35683114851348,0.20995050000055926,42
LightGBM,1,7,"{""objective"": ""regression"", ""learning_rate"": 0.03, ""num_leaves"": 15, ""min_child_samples"": 30, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",9.143062490144205,12.692816278408195,10.359089801333385,13.041814459033555,0.21582309999939753,42
LightGBM,1,8,"{""objective"": ""regression_l1"", ""learning_rate"": 0.03, ""num_leaves"": 10, ""min_child_samples"": 35, ""subsample"": 0.7, ""colsample_bytree"": 0.65, ""reg_alpha"": 1.5, ""reg_lambda"": 2.0}",9.975363240905315,14.207527819343365,11.302086551945722,14.384345756827686,0.18513910000183387,42
LightGBM,1,9,"{""objective"": ""regression_l1"", ""learning_rate"": 0.02, ""num_leaves"": 7, ""min_child_samples"": 40, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 2.0, ""reg_lambda"": 2.0}",12.910941047913518,20.382282619960677,14.628096207286017,19.00202138280134,0.1395940000002156,42
LightGBM,1,10,"{""objective"": ""regression"", ""learning_rate"": 0.02, ""num_leaves"": 7, ""min_child_samples"": 40, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 2.0, ""reg_lambda"": 2.0}",11.021125003859769,17.85632007659072,12.486934629373117,15.704744058195356,0.14069029999882332,42
LightGBM,1,11,"{""objective"": ""regression_l1"", ""learning_rate"": 0.02, ""num_leaves"": 15, ""min_child_samples"": 30, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",12.672232827600412,20.201913845488324,14.35763979367127,18.35123900295748,0.19098870000016177,42
LightGBM,1,12,"{""objective"": ""regression_l1"", ""learning_rate"": 0.06, ""num_leaves"": 25, ""min_child_samples"": 20, ""subsample"": 0.85, ""colsample_bytree"": 0.85, ""reg_alpha"": 0.2, ""reg_lambda"": 0.2}",9.30075935125884,11.425248737327038,10.537760344976267,13.254187589635398,0.3218210999984876,42
LightGBM,2,1,"{""objective"": ""regression"", ""learning_rate"": 0.05, ""num_leaves"": 31, ""min_child_samples"": 20, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",9.381539579140995,10.925106443925936,10.776574514559261,14.282241813441575,0.32020659999761847,42
LightGBM,2,2,"{""objective"": ""regression_l1"", ""learning_rate"": 0.05, ""num_leaves"": 31, ""min_child_samples"": 20, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",9.639739335903426,11.061845425702138,11.073168575152268,14.914591167500177,0.34425950000149896,42
LightGBM,2,3,"{""objective"": ""regression_l1"", ""learning_rate"": 0.03, ""num_leaves"": 31, ""min_child_samples"": 25, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5}",9.650380031149773,11.788688739885075,11.085391541781744,15.059279281621125,0.23214440000083414,42
