SKU,unit_iv,Cost_Price,Selling_Price,diff_own_cost,diff_own_sell,pct_err_cost,pct_err_sell,ratio_iv_to_cost,ratio_iv_to_sell,closer_to_cost,within_10pct_cost,within_10pct_sell
SKU001,3651.31,1758.45,3664.05,1892.86,12.74,51.84,0.35,2.0764,0.9965,False,False,True
SKU002,5654.6,3867.09,3805.69,1787.51,1848.91,31.61,32.7,1.4622,1.4858,True,False,False
SKU003,6148.83,589.48,8078.23,5559.35,1929.4,90.41,31.38,10.4309,0.7612,False,False,False
SKU004,1242.88,1445.74,6861.57,202.86,5618.69,16.32,452.07,0.8597,0.1811,True,False,False
SKU005,7432.43,5543.63,9493.22,1888.8,2060.79,25.41,27.73,1.3407,0.7829,True,False,False
SKU006,6626.4,6021.91,8106.04,604.49,1479.64,9.12,22.33,1.1004,0.8175,True,True,False
SKU007,4548.03,7748.2,5114.09,3200.17,566.06,70.36,12.45,0.587,0.8893,False,False,False
SKU008,6664.14,2775.15,9842.64,3888.99,3178.5,58.36,47.7,2.4014,0.6771,False,False,False
SKU009,2997.58,3121.06,2336.89,123.48,660.69,4.12,22.04,0.9604,1.2827,True,True,False
SKU010,7171.69,3889.06,663.46,3282.63,6508.23,45.77,90.75,1.8441,10.8095,True,False,False
SKU011,3867.09,1718.4,1444.56,2148.69,2422.53,55.56,62.64,2.2504,2.677,True,False,False
SKU012,1445.74,1256.89,8779.37,188.85,7333.63,13.06,507.26,1.1503,0.1647,True,False,False
SKU013,7748.2,3936.71,5757.78,3811.49,1990.42,49.19,25.69,1.9682,1.3457,False,False,False
SKU014,3121.06,2008.55,2270.75,1112.51,850.31,35.65,27.24,1.5539,1.3745,False,False,False
SKU015,1256.89,5441.06,6212.12,4184.17,4955.23,332.9,394.25,0.231,0.2023,True,False,False
SKU016,2008.55,3637.93,2166.82,1629.38,158.27,81.12,7.88,0.5521,0.927,False,False,True
SKU017,6703.26,6703.26,8477.32,0.0,1774.06,0.0,26.47,1.0,0.7907,True,True,False
SKU018,2670.84,5677.05,5575.41,3006.21,2904.57,112.56,108.75,0.4705,0.479,False,False,False
SKU019,3252.96,2670.84,4819.85,582.12,1566.89,17.9,48.17,1.218,0.6749,True,False,False
SKU020,5539.34,6700.01,3897.54,1160.67,1641.8,20.95,29.64,0.8268,1.4212,True,False,False
SKU021,307.06,6486.92,7711.28,6179.86,7404.22,2012.59,2411.33,0.0473,0.0398,True,False,False
SKU022,5402.59,3252.96,4597.03,2149.63,805.56,39.79,14.91,1.6608,1.1752,False,False,False
SKU023,3806.6,2484.54,1416.74,1322.06,2389.86,34.73,62.78,1.5321,2.6869,True,False,False
SKU024,1333.43,5539.34,1768.87,4205.91,435.44,315.42,32.66,0.2407,0.7538,False,False,False
SKU025,3901.0,1333.08,11558.01,2567.92,7657.01,65.83,196.28,2.9263,0.3375,True,False,False
SKU026,6178.74,1799.29,10939.54,4379.45,4760.8,70.88,77.05,3.434,0.5648,True,False,False
SKU027,4583.86,307.06,8516.6,4276.8,3932.74,93.3,85.8,14.9282,0.5382,False,False,False
SKU028,488.84,6348.66,3484.09,5859.82,2995.25,1198.72,612.73,0.077,0.1403,False,False,False
SKU029,3416.1,5402.59,11642.45,1986.49,8226.35,58.15,240.81,0.6323,0.2934,True,False,False
SKU030,2063.03,5715.03,9433.51,3652.0,7370.48,177.02,357.26,0.361,0.2187,True,False,False
SKU031,2525.35,6300.65,8715.93,3775.3,6190.58,149.5,245.14,0.4008,0.2897,True,False,False
SKU032,4567.0,3806.6,5612.59,760.4,1045.59,16.65,22.89,1.1998,0.8137,True,False,False
SKU033,3399.5,4657.74,3558.0,1258.24,158.5,37.01,4.66,0.7299,0.9555,False,False,True
SKU034,1544.04,1333.43,1518.14,210.61,25.9,13.64,1.68,1.1579,1.0171,False,False,True
SKU035,5848.28,1137.61,10870.19,4710.67,5021.91,80.55,85.87,5.1408,0.538,True,False,False
SKU036,1499.86,5430.12,5687.0,3930.26,4187.14,262.04,279.17,0.2762,0.2637,True,False,False
SKU037,5646.48,3901.0,2747.42,1745.48,2899.06,30.91,51.34,1.4474,2.0552,True,False,False
SKU038,3202.91,4630.58,3949.1,1427.67,746.19,44.57,23.3,0.6917,0.811,False,False,False
SKU039,3054.05,6178.74,7118.95,3124.69,4064.9,102.31,133.1,0.4943,0.429,True,False,False
SKU040,1164.55,5169.07,2450.56,4004.52,1286.01,343.87,110.43,0.2253,0.4752,False,False,False
SKU041,5672.73,4540.24,10336.73,1132.49,4664.0,19.96,82.22,1.2494,0.5488,True,False,False
SKU042,7761.12,4583.86,9198.83,3177.26,1437.71,40.94,18.52,1.6931,0.8437,False,False,False
SKU043,3732.55,2605.61,8745.77,1126.94,5013.22,30.19,134.31,1.4325,0.4268,True,False,False
SKU044,997.03,488.84,5412.28,508.19,4415.25,50.97,442.84,2.0396,0.1842,True,False,False
SKU045,1818.32,3634.56,7676.78,1816.24,5858.46,99.89,322.19,0.5003,0.2369,True,False,False
SKU046,4738.95,1913.03,7175.54,2825.92,2436.59,59.63,51.42,2.4772,0.6604,False,False,False
SKU047,6128.53,3416.1,7938.22,2712.43,1809.69,44.26,29.53,1.794,0.772,False,False,False
SKU048,3598.72,6863.87,1379.55,3265.15,2219.17,90.73,61.67,0.5243,2.6086,False,False,False
SKU049,5286.31,2063.03,5223.37,3223.28,62.94,60.97,1.19,2.5624,1.012,False,False,True
SKU050,3472.51,701.85,882.72,2770.66,2589.79,79.79,74.58,4.9477,3.9339,False,False,False
