SKU,oo_mean,oo_min,oo_max,oo_std,oo_zero_months,lt_mean,lt_min,lt_max,cs_mean
SKU001,440.54,15,1262,327.81,0,8.5,3,14,640.29
SKU002,267.12,3,674,198.3,0,8.54,3,14,461.96
SKU003,164.42,12,442,108.8,0,7.5,3,14,272.0
SKU004,257.71,0,692,171.64,1,9.42,5,14,328.42
SKU005,282.54,5,846,191.47,0,8.62,4,14,472.96
SKU006,292.38,6,692,210.87,0,9.88,3,14,344.04
SKU007,278.5,2,782,234.32,0,8.17,3,14,413.83
SKU008,296.96,22,612,170.74,0,7.88,3,14,496.5
SKU009,151.62,11,586,127.4,0,7.79,3,14,204.83
SKU010,48.12,0,131,37.67,1,8.96,4,14,71.29
SKU011,320.83,3,979,249.32,0,8.12,3,14,546.62
SKU012,49.25,1,164,38.0,0,8.38,3,14,67.25
SKU013,145.67,0,305,87.28,1,8.08,3,14,183.29
SKU014,245.33,1,677,183.07,0,9.54,3,14,314.88
SKU015,265.54,2,638,179.37,0,8.12,3,14,365.21
SKU016,107.54,0,294,81.15,1,8.29,3,13,220.92
SKU017,171.75,11,559,134.12,0,8.38,4,14,245.17
SKU018,236.62,24,529,157.16,0,8.79,3,13,396.29
SKU019,103.33,0,309,79.46,1,8.5,3,14,169.46
SKU020,432.0,17,1007,298.62,0,6.38,3,11,672.62
SKU021,87.71,8,197,55.64,0,7.75,3,14,141.29
SKU022,231.08,20,434,110.96,0,9.71,4,14,226.5
SKU023,142.33,3,321,109.23,0,9.04,3,14,211.58
SKU024,185.17,12,427,131.15,0,9.04,3,14,265.46
SKU025,457.46,10,1100,301.67,0,7.21,3,14,661.12
SKU026,75.83,3,283,70.97,0,9.88,3,14,121.46
SKU027,237.42,1,658,197.17,0,8.83,3,14,418.29
SKU028,257.75,3,741,201.52,0,8.25,3,14,388.71
SKU029,343.29,17,989,225.71,0,8.58,3,14,453.79
SKU030,79.96,13,208,51.98,0,7.58,3,14,155.75
SKU031,73.5,1,236,67.06,0,9.67,3,14,121.83
SKU032,174.67,2,462,129.29,0,8.92,3,14,256.58
SKU033,161.75,17,423,109.86,0,7.96,3,14,257.83
SKU034,83.17,2,238,64.48,0,9.04,3,14,109.29
SKU035,305.67,5,666,197.01,0,7.75,3,14,509.75
SKU036,292.0,16,635,182.46,0,9.17,3,14,353.71
SKU037,680.92,1,1706,360.7,0,9.75,4,14,766.92
SKU038,164.21,21,369,98.45,0,9.08,4,14,212.33
SKU039,81.08,5,195,57.87,0,7.75,3,14,106.67
SKU040,80.25,0,241,62.51,1,8.42,3,14,113.92
SKU041,235.62,1,764,184.92,0,8.67,3,14,331.58
SKU042,87.96,11,295,68.02,0,7.62,3,14,155.33
SKU043,306.62,2,841,232.25,0,9.71,4,13,408.17
SKU044,129.12,6,338,106.27,0,8.79,3,14,159.62
SKU045,228.71,0,577,125.25,1,8.29,3,14,293.83
SKU046,159.0,21,455,124.32,0,8.46,3,14,230.46
SKU047,90.12,8,271,66.19,0,7.25,3,14,112.71
SKU048,51.83,4,141,34.01,0,8.12,3,13,73.54
SKU049,380.96,1,860,236.77,0,8.08,3,14,553.29
SKU050,213.88,18,525,147.49,0,8.5,4,14,376.17
