N_weeks,alert_rate_all_pct,skus_with_any_alert,skus_with_all_alerts,mean_excess_units_when_alerted,median_excess_units_when_alerted,cat_Furniture_pct,cat_HomeDecor_pct,cat_Kitchen_pct,cat_Lighting_pct,cat_Storage_pct,q1_lowest_demand_pct,q2_pct,q3_pct,q4_pct,q5_highest_demand_pct
1,91.21739130434783,50,32,397.07385290573234,316.31132075471703,90.0,84.78260869565217,97.3913043478261,93.04347826086956,90.8695652173913,100.0,96.95652173913044,92.6086956521739,85.65217391304348,80.8695652173913
2,77.13043478260869,48,13,371.87785837357217,290.4528301886793,76.95652173913044,68.26086956521739,83.91304347826087,76.95652173913044,79.56521739130434,99.56521739130434,87.82608695652175,74.78260869565217,60.0,63.47826086956522
3,64.95652173913044,44,7,348.85217599959583,262.83018867924534,69.56521739130434,54.347826086956516,66.08695652173913,64.78260869565217,70.0,96.08695652173913,75.65217391304347,58.69565217391305,48.26086956521739,46.08695652173913
4,52.17391304347826,41,5,345.3111320754717,253.24528301886792,57.826086956521735,44.34782608695652,47.391304347826086,50.8695652173913,60.43478260869565,93.47826086956522,62.17391304347826,39.130434782608695,36.08695652173913,30.0
5,42.26086956521739,39,4,344.549965059399,267.0141509433962,51.30434782608696,34.78260869565217,34.78260869565217,36.52173913043478,53.91304347826087,88.69565217391305,48.69565217391305,31.30434782608696,25.65217391304348,16.956521739130434
6,36.08695652173913,34,4,331.52748351898157,257.6792452830189,45.21739130434783,29.130434782608695,30.0,26.521739130434785,49.56521739130435,86.52173913043478,40.43478260869565,24.347826086956523,16.956521739130434,12.173913043478262
7,30.08695652173913,32,2,330.86961500708907,257.1132075471698,40.0,19.565217391304348,24.782608695652176,20.869565217391305,45.21739130434783,82.17391304347827,29.565217391304348,19.130434782608695,11.73913043478261,7.82608695652174
8,25.565217391304344,30,2,328.57457322551664,254.09433962264154,36.08695652173913,13.91304347826087,20.0,16.52173913043478,41.30434782608695,77.82608695652173,21.304347826086957,15.65217391304348,8.26086956521739,4.782608695652174
10,18.173913043478258,22,0,344.7884806355511,262.4905660377358,30.434782608695656,5.6521739130434785,13.478260869565217,10.869565217391305,30.434782608695656,65.21739130434783,11.73913043478261,10.0,2.608695652173913,1.3043478260869565
12,15.043478260869565,18,0,325.9659722979605,235.05660377358492,27.82608695652174,2.608695652173913,10.0,9.130434782608695,25.65217391304348,59.130434782608695,9.130434782608695,5.6521739130434785,0.8695652173913043,0.43478260869565216
